Abyssinian_60 ['Bengal', 'Exotic Shorthair', 'British Shorthair']
Pomeranian_81 ['Dachshund', 'French Bulldog', 'Basset Hound']
Pomeranian_82 ['Bichon Frise', 'Cocker Spaniel', 'Shih Tzu']
Pomeranian_83 ['Pug', 'Boston Terrier', 'French Bulldog']
Pug_51 ['Pug', 'Bulldog', 'Boston Terrier']
Pug_52 ['Pug', 'Bulldog', 'Boxer']
Pug_53 ['Pug', 'Pug Dog', 'Small Pug']
Ragdoll_36 ['Ragdoll', 'Maine Coon', 'Siberian']
Ragdoll_37 ['Siamese', 'Scottish Fold', 'British Shorthair']
Ragdoll_38 ['Exotic Shorthair', 'British Shorthair', 'Ragdoll']
Russian Blue_84 ['British Shorthair', 'American Shorthair', 'Russian Blue']
Russian Blue_85 ['Maine Coon', 'British Shorthair', 'Scottish Fold']
Russian Blue_86 ['British Shorthair', 'Russian Blue', 'American Shorthair']
Saint Bernard_24 ['St. Bernard', 'Bernese Mountain Dog', 'Greater Swiss Mountain Dog']
Saint Bernard_25 ['St. Bernard', 'Mastiff', 'Boxer']
Saint Bernard_26 ['St. Bernard', 'Newfoundland', 'Bernese Mountain Dog']
Samoyed_90 ['Samoyed', 'Bichon Frise', 'Jack Russell Terrier']
Samoyed_91 ['Samoyed', 'Eskimo Dog', 'Spitz']
Samoyed_92 ['Bulldog', 'Samoyed', 'Bichon Frise']
Scottish Terrier_87 ['Scottish Terrier', 'Cairn Terrier', 'West Highland White Terrier']
Scottish Terrier_88 ['Scottish Terrier', 'Boston Terrier', 'Border Terrier']
Scottish Terrier_89 ['Scottish Terrier', 'West Highland White Terrier', 'Bichon Frise']
Shiba Inu_18 ['Shiba Inu', 'Bulldog', 'Boxer']
Shiba Inu_19 ['Shiba Inu', 'Asian Samoyed', 'Labrador Retriever']
Shiba Inu_20 ['Shiba Inu', 'Shih Tzu', 'Bulldog']
Siamese_72 ['Siamese', 'Exotic Shorthair', 'British Shorthair']
Siamese_73 ['Siamese', 'Oriental Shorthair', 'Colorpoint Shorthair']
Siamese_74 ['Siamese', 'British Shorthair', 'Scottish Fold']
Sphynx_33 ['Sphynx', 'Devon Rex', 'Peterbald']
Sphynx_34 ['Sphynx', 'Devon Rex', 'Peterbald']
Sphynx_35 ['Sphynx', 'Devon Rex', 'Bambino']
Staffordshire Bull Terrier_105 ['Boxer', 'Hound', 'Bulldog']
Staffordshire Bull Terrier_106 ['Boxer', 'Boston Terrier', 'Bulldog']
Staffordshire Bull Terrier_107 ['Boston Terrier', 'French Bulldog', 'Boxer']
Wheaten Terrier_45 ['Basset Hound', 'Bulldog', 'Boxer']
Wheaten Terrier_46 ['Shih Tzu', 'Pekingese', 'Bichon Frise']
Wheaten Terrier_47 ['Pug', 'French Bulldog', 'Boston Terrier']
Yorkshire Terrier_12 ['Yorkshire Terrier', 'Shih Tzu', 'Maltese']
Yorkshire Terrier_13 ['Yorkshire Terrier', 'Yorkie', 'Small Terrier']
Yorkshire Terrier_14 ['Yorkshire Terrier', 'Yorkie', 'Silky Terrier']
