Chihuaha_18 ['Chihuahua', 'Miniature Pinscher', 'Dachshund']
Basset Hound_12 ['Basset Hound', 'Bloodhound', 'Plott Hound']
Basset Hound_13 ['Basset Hound', 'Bloodhound', 'Beagle']
Basset Hound_14 ['Basset Hound', 'English Basset Hound', 'American Basset Hound']
Beagle_48 ['Beagle', 'Beagle mix', 'Beagle crossbreed']
Beagle_49 ['Beagle', 'Basset Hound', 'Bloodhound']
Beagle_50 ['Beagle', 'Dachshund', 'Basset Hound']
Bloodhound_45 ['Coonhound', 'Basset Hound', 'Bloodhound']
Bloodhound_46 ['Bloodhound', 'Basset Hound', 'Bulldog']
Bloodhound_47 ['Bloodhound', 'Basset Hound', 'Coonhound.']
Bluetick_270 ['Blue Tick Coonhound', 'Australian Shepherd', 'Border Collie']
Bluetick_271 ['Beagle', 'Foxhound', 'Basset Hound']
Bluetick_272 ['Basset Hound', 'Bloodhound', 'Beagle']
Black-and-tan Coonhound_132 ['Coonhound', 'Basset Hound', 'Doberman Pinscher']
Black-and-tan Coonhound_133 ['Basset Hound', 'Beagle', 'Dachshund']
Black-and-tan Coonhound_134 ['Bloodhound', 'Rottweiler', 'Doberman Pinscher']
Walker Hound_84 ['Labrador Retriever', 'Dachshund', 'American Eskimo Dog']
Walker Hound_85 ['Foxhound', 'Beagle', 'Basset Hound']
Walker Hound_86 ['Basset Hound', 'Bloodhound', 'Coonhound']
English Foxhound_240 ['Beagle', 'Foxhound', 'and Bloodhound.']
English Foxhound_241 ['Beagle', 'Basset Hound', 'Dachshund']
English Foxhound_242 ['Foxhound', 'Basset Hound', 'Bloodhound']
Redbone_330 ['Dalmatian', 'Basset Hound', 'Boxer']
Redbone_331 ['Bloodhound', 'Basset Hound', 'Rhodesian Ridgeback.']
Redbone_332 ['Basset Hound', 'Bloodhound', 'Dachshund']
Borzoi_3 ['Basset Hound', 'Dachshund', 'Pharaoh Hound']
Borzoi_4 ['Foxhound', 'Bloodhound', 'Coonhound']
Borzoi_5 ['Hound', 'Bloodhound', 'Afghan Hound']
Irish Wolfhound_255 ['Basset Hound', 'Shar Pei', 'Bulldog']
Irish Wolfhound_256 ['Irish Wolfhound', 'Bloodhound', 'Afghan Hound']
Irish Wolfhound_257 ['Old English Sheepdog', 'Briard', 'Komondor']
Italian Greyhound_126 ['Basset Hound', 'Bulldog', 'Boxer']
Italian Greyhound_127 ['Dachshund', 'Poodle', 'Hound']
Italian Greyhound_128 ['Dachshund', 'Boston Terrier', 'French Bulldog']
Whippet_324 ['Greyhound', 'Labrador Retriever', 'Weimaraner']
Whippet_325 ['Greyhound', 'Whippet', 'Italian Greyhound']
Whippet_326 ['Greyhound', 'Whippet', 'Italian Greyhound']
Ibizian Hound_114 ['Basset Hound', 'Beagle', 'Whippet']
Ibizian Hound_115 ['Hound mix', 'Basset Hound', 'Beagle']
Ibizian Hound_116 ['Terrier mix', 'Hound mix', 'Fox Terrier']
Norwegian Elkhound_354 ['Samoyed', 'Chow Chow', 'Bulldog']
Norwegian Elkhound_355 ['Shih Tzu', 'Chow Chow', 'Keeshond']
Norwegian Elkhound_356 ['Pomeranian', 'Chow Chow', 'Keeshond']
Otterhound_336 ['Hound', 'Terrier', 'Mastiff.']
Otterhound_337 ['Poodle', 'Cockapoo', 'Labrador Retriever.']
Otterhound_338 ['Labrador Retriever', 'Rottweiler', 'Bloodhound']
Saluki_282 ['Basset Hound', 'Bloodhound', 'Great Dane']
Saluki_283 ['Hound', 'Dachshund', 'Greyhound']
Saluki_284 ['Lurcher', 'Basset Hound', 'Bloodhound']
Scottish Deerhound_15 ['Lurcher', 'Bloodhound', 'Coonhound']
Scottish Deerhound_16 ['Hound dog', 'Greyhound', 'Weimaraner.']
Scottish Deerhound_17 ['Irish Wolfhound', 'Old English Sheepdog', 'Briard']
Weimaraner_102 ['1. Bulldog', '2. Boxer', '3. Weimaraner']
Weimaraner_103 ['Weimaraner', 'Bulldog', 'Boxer']
Weimaraner_104 ['Weimaraner', 'Boxer', 'Bulldog']
Staffordshire Bullterrier_78 ['Bulldog', 'Boxer', 'Rottweiler']
Staffordshire Bullterrier_79 ['Bulldog ', 'Boxer ', 'Basset Hound']
Staffordshire Bullterrier_80 ['Bulldog', 'Boxer', 'Boston Terrier']
American Staffordshire Terrier_159 ['Pit Bull Terrier', 'Boxer', 'Rottweiler']
American Staffordshire Terrier_160 ['Boxer', 'Boxer Mix', 'Boxer Puppy']
American Staffordshire Terrier_161 ['American Pit Bull Terrier', 'Staffordshire Bull Terrier', 'Bull Terrier']
Bedlington Terrier_351 ['Poodle', 'Bichon Frise', 'Maltese']
Bedlington Terrier_352 ['Poodle', 'Bichon Frise', 'Maltese']
Bedlington Terrier_353 ['Poodle', 'Bichon Frise', 'Maltese']
Border Terrier_342 ['Border Terrier', 'Terrier Mix', 'Dachshund-Terrier Mix']
Border Terrier_343 ['Border Terrier', 'Pug', 'French Bulldog.']
Border Terrier_344 ['Border Terrier', 'French Bulldog', 'Basset Hound']
Kerry Blue Terrier_138 ['Schnauzer', 'Terrier', 'Dachshund']
Kerry Blue Terrier_139 ['Scottish Terrier', 'Black Terrier', 'Terrier Dog']
Kerry Blue Terrier_140 ['Poodle', 'Terrier', 'Terrier mix.']
Irish Terrier_108 ['Terrier', 'Shih Tzu', 'Pomeranian']
Irish Terrier_109 ['Irish Terrier', 'Cairn Terrier', 'Airedale Terrier']
Irish Terrier_110 ['Fox Terrier', 'Jack Russell Terrier', 'Border Terrier']
Norfolk Terrier_315 ['Yorkshire Terrier', 'Cairn Terrier', 'Norfolk Terrier']
Norfolk Terrier_316 ['Bulldog', 'Pug', 'French Bulldog']
Norfolk Terrier_317 ['Yorkshire Terrier', 'French Bulldog', 'Pug']
Norwich Terrier_63 ['Pug', 'French Bulldog', 'Boston Terrier']
Norwich Terrier_64 ['Terrier mix', 'Pug', 'French Bulldog']
Norwich Terrier_65 ['Cairn Terrier', 'Boston Terrier', 'French Bulldog']
Yorkshire Terrier_36 ['Dachshund', 'French Bulldog', 'Shih Tzu']
Yorkshire Terrier_37 ['Yorkshire Terrier', 'Pomeranian', 'Shih Tzu']
Yorkshire Terrier_38 ['Yorkshire Terrier', 'Yorkie', 'Teddy Bear Dog']
Wirehaired Fox Terrier_51 ['Wire Fox Terrier', 'Smooth Fox Terrier', 'Parson Russell Terrier']
Wirehaired Fox Terrier_52 ['Fox Terrier', 'Wire Fox Terrier', 'Wire-Haired Terrier']
Wirehaired Fox Terrier_53 ['Fox Terrier', 'Wire Fox Terrier', 'Terrier']
Lakeland Terrier_141 ['Terrier', 'Dachshund', 'Poodle']
Lakeland Terrier_142 ['Fox Terrier', 'Dachshund', 'Cairn Terrier']
Lakeland Terrier_143 ['Fox Terrier', 'Wire-haired Fox Terrier', 'Toy Fox Terrier']
Sealyham Terrier_213 ['Sealyham Terrier', 'Sealyham Terrier', 'Sealyham Terrier']
Sealyham Terrier_214 ['Spitz', 'Scottish Terrier', 'West Highland White Terrier.']
Sealyham Terrier_215 ['Samoyed', 'Bichon Frise', 'Japanese Spitz']
Airedale_267 ['Dachshund', 'Brussels Griffon', 'Pug']
Airedale_268 ['Airedale Terrier', 'Wire Fox Terrier', 'Beagle']
Airedale_269 ['Airedale Terrier', 'Welsh Terrier', 'Cairn Terrier']
Cairn_54 ['Cairn Terrier', 'Yorkshire Terrier', 'West Highland White Terrier']
Cairn_55 ['Terrier', 'Pomeranian', 'Affenpinscher']
Cairn_56 ['Jack Russell Terrier', 'Yorkshire Terrier', 'Cairn Terrier']
Australian Terrier_129 ['Yorkshire Terrier', 'Shih Tzu', 'Maltese']
Australian Terrier_130 ['Pomeranian', 'Bichon Frise', 'Shih Tzu']
Australian Terrier_131 ['Fox Terrier', 'Terrier mix', 'Pug']
Dandi Dinmont_195 ['Dachshund', 'Shih Tzu', 'Pomeranian']
Dandi Dinmont_196 ['Bichon Frise', 'Maltese', 'Pomeranian']
Dandi Dinmont_197 ['Maltese', 'Bichon Frise', 'Havanese']
Boston Bull_273 ['Boston Terrier', 'French Bulldog', 'Jack Russell Terrier']
Boston Bull_274 ['Boston Terrier', 'French Bulldog', 'Boxer']
Boston Bull_275 ['Boston Terrier', 'French Bulldog', 'English Bulldog']
Miniature Schnauzer_93 ['Miniature Schnauzer', 'Standard Schnauzer', 'Giant Schnauzer']
Miniature Schnauzer_94 ['Miniature Schnauzer', 'Affenpinscher', 'Scottish Terrier']
Miniature Schnauzer_95 ['Schnauzer', 'Miniature Schnauzer', 'Standard Schnauzer']
Giant Schnauzer_198 ['Terrier', 'Dachshund', 'Hound']
Giant Schnauzer_199 ['Labrador Retriever', 'Rottweiler', 'Boxer']
Giant Schnauzer_200 ['Afghan Hound', 'Saluki', 'Basenji']
Standard Schnauzer_321 ['Miniature Schnauzer', 'Standard Schnauzer', 'Giant Schnauzer.']
Standard Schnauzer_322 ['Schnauzer', 'Scottish Terrier', 'Dachshund']
Standard Schnauzer_323 ['Miniature Schnauzer', 'Standard Schnauzer', 'Giant Schnauzer']
Scotch Terrier_120 ['Scottish Terrier', 'Aberdeen Terrier', 'Scottie']
Scotch Terrier_121 ['Scottish Terrier', 'Aberdeen Terrier', 'Highland Terrier']
Scotch Terrier_122 ['Scottish Terrier', 'Scottie', 'Aberdeen Terrier']
Tibetan Terrier_300 ['St. Bernard', 'Dalmatian', 'Border Collie']
Tibetan Terrier_301 ['Dachshund', 'Basset Hound', 'Shar Pei']
Tibetan Terrier_302 ['Shih Tzu', 'Pomeranian', 'Chow Chow']
Silky Terrier_285 ['Yorkshire Terrier', 'Biewer Terrier', 'Silky Terrier']
Silky Terrier_286 ['Yorkshire Terrier', 'Yorkie', 'Toy Terrier']
Silky Terrier_287 ['Yorkshire Terrier', 'Boston Terrier', 'French Bulldog']
Soft-coated Wheaten Terrier_201 ['Bernese Mountain Dog', 'Newfoundland', 'Leonberger']
Soft-coated Wheaten Terrier_202 ['Pug', 'French Bulldog', 'Bulldog.']
Soft-coated Wheaten Terrier_203 ['Bulldog', 'Pug', 'Bichon Frise']
West Highland White Terrier_252 ['West Highland White Terrier', 'Dachshund', 'Bichon Frise']
West Highland White Terrier_253 ['West Highland White Terrier', 'Bichon Frise', 'Maltese']
West Highland White Terrier_254 ['Basset Hound', 'Bulldog', 'Samoyed']
Lhasa_297 ['Chihuahua', 'Shih Tzu', 'Bulldog']
Lhasa_298 ['Shih Tzu', 'Chihuahua', 'Dachshund']
Lhasa_299 ['Shih Tzu', 'Chihuahua', 'Bulldog']
Flat-coated Retriever_258 ['Labrador Retriever', 'Bulldog', 'Basset Hound']
Flat-coated Retriever_259 ['Labrador Retriever', 'Black and Tan Retriever', 'Retriever mix']
Flat-coated Retriever_260 ['Bulldog ', 'French Bulldog ', 'Boston Terrier']
Curly-coater Retriever_111 ['Labrador Retriever', 'Boxer', 'Boston Terrier']
Curly-coater Retriever_112 ['Newfoundland', 'Old English Sheepdog', 'Bernese Mountain Dog']
Curly-coater Retriever_113 ['Labrador Retriever', 'Newfoundland', 'Flat-Coated Retriever']
Golden Retriever_30 ['Bulldog', 'Basset Hound', 'Shar Pei']
Golden Retriever_31 ['Golden Retriever', 'Labrador Retriever', 'Flat-Coated Retriever']
Golden Retriever_32 ['Golden Retriever', 'Labrador Retriever', 'Weimaraner']
Labrador Retriever_192 ['Labrador Retriever', 'Bichon Frise', 'Cocker Spaniel']
Labrador Retriever_193 ['Labrador Retriever', 'Golden Retriever', 'Boxer']
Labrador Retriever_194 ['Boxer', 'Bulldog', 'Rottweiler']
Chesapeake Bay Retriever_327 ['Labrador Retriever', 'Bulldog', 'Basset Hound']
Chesapeake Bay Retriever_328 ['Labrador Retriever', 'Chocolate Labrador Retriever', 'Brown Labrador Retriever']
Chesapeake Bay Retriever_329 ['Labrador Retriever', 'Bulldog', 'Basset Hound']
German Short-haired Pointer_153 ['Pointer', 'English Setter', 'Brittany Spaniel']
German Short-haired Pointer_154 ['French Bulldog', 'Dachshund', 'Boston Terrier']
German Short-haired Pointer_155 ['Pointer', 'Boxer', 'Beagle']
Vizsla_147 ['Basset Hound', 'Bloodhound', 'Rhodesian Ridgeback']
Vizsla_148 ['Vizsla', 'Basset Hound', 'Bloodhound']
Vizsla_149 ['Basset Hound', 'Bloodhound', 'Rhodesian Ridgeback']
English Setter_186 ['Setter', 'Spitz', 'Hound']
English Setter_187 ['Basset Hound', 'Dalmatian', 'Cocker Spaniel']
English Setter_188 ['Boston Terrier', 'Boxer', 'Bull Terrier']
Irish Setter_57 ['Irish Setter', 'Hound', 'Retriever']
Irish Setter_58 ['Basset Hound', 'Dachshund', 'Irish Setter']
Irish Setter_59 ['Irish Wolfhound', 'Red Irish Wolfhound', 'Hound']
Gordon Setter_228 ['Basset Hound', 'Tibetan Spaniel', 'Brussels Griffon']
Gordon Setter_229 ['Cocker Spaniel', 'English Cocker Spaniel', 'American Cocker Spaniel']
Gordon Setter_230 ['Bloodhound', 'Boxer', 'Doberman Pinscher']
Brittany_123 ['Hound Dog', 'Spitz Dog', 'Foxhound']
Brittany_124 ['Hound dog', 'Poodle', 'Labrador Retriever.']
Brittany_125 ['Bulldog', 'Basset Hound', 'Boxer']
Clumber_234 ['Basset Hound', 'Bulldog', 'Boxer']
Clumber_235 ['Samoyed', 'Japanese Spitz', 'American Eskimo Dog']
Clumber_236 ['Shiba Inu', 'Pembroke Welsh Corgi', 'Finnish Spitz']
English Springer Spaniel_24 ['Shiba Inu', 'Pembroke Welsh Corgi', 'Samoyed']
English Springer Spaniel_25 ['Springer Spaniel', 'Spitz', 'Mixed Breed']
English Springer Spaniel_26 ['Alaskan Klee Kai', 'Shiba Inu', 'Finnish Spitz']
Welsh Springer Spaniel_294 ['Spitz', 'Cocker Spaniel', 'Hound Dog']
Welsh Springer Spaniel_295 ['Hound', 'Springer Spaniel', 'Brown and White Spaniel']
Welsh Springer Spaniel_296 ['Cocker Spaniel', 'Spitz', 'crossbreed']
Cocker Spaniel_135 ['Scottish Terrier', 'Labrador Retriever', 'Rottweiler']
Cocker Spaniel_136 ['Cocker Spaniel', 'American Cocker Spaniel', 'English Cocker Spaniel']
Cocker Spaniel_137 ['Cocker Spaniel', 'Poodle', 'Snub-Nosed Terrier']
Sussex Spaniel_105 ['Cocker Spaniel', 'Hound dog', 'Labrador Retriever.']
Sussex Spaniel_106 ['Afghan Hound', 'Cocker Spaniel', 'Basset Hound']
Sussex Spaniel_107 ['Newfoundland', 'Bernese Mountain Dog', 'Greater Swiss Mountain Dog']
Irish Water Spaniel_279 ['Poodle', 'Standard Poodle', 'Toy Poodle']
Irish Water Spaniel_280 ['Poodle', 'Spoodle', 'Poodle mix']
Irish Water Spaniel_281 ['Poodle', 'Labrador Retriever', 'Golden Retriever']
Kuvasz_168 ['Samoyed', 'Great Pyrenees', 'Bernese Mountain Dog']
Kuvasz_169 ['Bulldog', 'Boxer', 'Shar Pei']
Kuvasz_170 ['Poodle', 'Bichon Frise', 'Maltese']
Schipperke_9 ['French Bulldog', 'Pug', 'Boston Terrier']
Schipperke_10 ['Labrador Retriever', 'Doberman Pinscher', 'Boxer']
Schipperke_11 ['Scottish Terrier', 'Labrador Retriever', 'Rottweiler']
Groenendael_333 ['Pug', 'Rottweiler', 'Beagle']
Groenendael_334 ['Boston Terrier', 'French Bulldog', 'American Staffordshire Terrier']
Groenendael_335 ['Beagle', 'Bulldog', 'Boxer']
Malinois_33 ['Dachshund', 'Shih Tzu', 'Pomeranian']
Malinois_34 ['Belgian Shepherd', 'Beagle mix', 'Boxer.']
Malinois_35 ['Belgian Shepherd', 'Boxer', 'Bulldog']
Briard_90 ['St. Bernard', 'Dachshund', 'Old English Sheepdog.']
Briard_91 ['Shih Tzu', 'Bichon Frise', 'Lhasa Apso']
Briard_92 ['Shih Tzu', 'Basset Hound', 'Tibetan Terrier']
Kelpie_171 ['French Bulldog', 'Boston Terrier', 'Pug']
Kelpie_172 ['Bulldog', 'Boxer', 'Boston Terrier']
Kelpie_173 ['Boxer', 'Vizsla', 'Doberman Pinscher']
Komondor_237 ['Poodle', 'Bichon Frise', 'Portuguese Water Dog']
Komondor_238 ['Samoyed', 'Newfoundland', 'Old English Sheepdog']
Komondor_239 ['St', 'Newfoundland', 'Bernese Mountain Dog']
Old English Sheepdog_96 ['Bulldog', 'Bichon Frise', 'Keeshond']
Old English Sheepdog_97 ['St. Bernard', 'Bulldog', 'Boston Terrier']
Old English Sheepdog_98 ['St. Bernard', 'Bernese Mountain Dog', 'Newfoundland.']
Shetland Sheepdog_6 ['Collie', 'Hound', 'Shepherd.']
Shetland Sheepdog_7 ['Basset Hound', 'Corgi', 'Bulldog']
Shetland Sheepdog_8 ['Boxer', 'Bulldog', 'Staffordshire Bull Terrier']
Collie_156 ['Border Collie', 'Boston Terrier', 'English Bulldog']
Collie_157 ['Collie', 'Shetland Sheepdog', 'Rough Collie']
Collie_158 ['Boston Terrier', 'French Bulldog', 'English Bulldog']
Border Collie_39 ['Border Collie', 'Poodle', 'Terrier']
Border Collie_40 ['Border Collie', 'Dalmatian', 'Springer Spaniel']
Border Collie_41 ['Border Collie', 'Bulldog', 'Boston Terrier']
Bouvier des Flandres_42 ['Poodle', 'Spitz', 'Terrier']
Bouvier des Flandres_43 ['Afghan Hound', 'St. Bernard', 'Newfoundland']
Bouvier des Flandres_44 ['Scottish Terrier', 'Rottweiler', 'Labrador Retriever']
Rottweiler_117 ['Rottweiler', 'German Rottweiler', 'Rottweiler Mix']
Rottweiler_118 ['Rottweiler', 'Doberman Pinscher', 'Boxer']
Rottweiler_119 ['Rottweiler', 'Rottweiler mix', 'Rottweiler puppy']
German Shepard_231 ['German Shepherd', 'Alsatian', 'Deutscher Schäferhund']
German Shepard_232 ['German Shepherd', 'Belgian Malinois', 'Dutch Shepherd']
German Shepard_233 ['German Shepherd', 'Belgian Malinois', 'Dutch Shepherd']
Doberman_162 ['Doberman Pinscher', 'Rottweiler', 'Boxer']
Doberman_163 ['Doberman Pinscher', 'Rottweiler', 'Miniature Pinscher']
Doberman_164 ['Doberman Pinscher', 'Rottweiler', 'German Pinscher']
Miniature Pinscher_27 ['Miniature Pinscher', 'Manchester Terrier', 'Doberman Pinscher']
Miniature Pinscher_28 ['Chihuahua', 'Dachshund', 'Pomeranian']
Miniature Pinscher_29 ['Pinscher', 'Miniature Pinscher', 'Doberman Pinscher']
Greater Swiss Mountain Dog_243 ['St. Bernard', 'Newfoundland', 'Bernese Mountain Dog']
Greater Swiss Mountain Dog_244 ['Dachshund', 'Boston Terrier', 'French Bulldog']
Greater Swiss Mountain Dog_245 ['St. Bernard', 'Bernese Mountain Dog', 'Newfoundland']
Bernese Mountain Dog_249 ['Bernese Mountain Dog', 'Newfoundland', 'Saint Bernard.']
Bernese Mountain Dog_250 ['Bernese Mountain Dog', 'Saint Bernard', 'Newfoundland']
Bernese Mountain Dog_251 ['Bernese Mountain Dog', 'Greater Swiss Mountain Dog', 'Appenzeller Sennenhund']
Appenzeller_144 ['Bernese Mountain Dog', 'Basset Hound', 'Dachshund']
Appenzeller_145 ['Bernese Mountain Dog', 'Rottweiler', 'Doberman Pinscher']
Appenzeller_146 ['Bernese Mountain Dog', 'Bernese Mountain Dog mix', 'Bernese Mountain Dog puppy.']
EntleBucher_204 ['Swiss St. Bernard', 'St. Bernard puppy', 'Mixed breed']
EntleBucher_205 ['Bernese Mountain Dog', 'St. Bernard', 'Swiss Mountain Dog']
EntleBucher_206 ['St. Bernard Mix', 'Swiss Mountain Dog Mix', 'Bernese Mountain Dog Mix']
Boxer_348 ['Boxer', 'Bulldog', 'Boston Terrier']
Boxer_349 ['Boxer', 'Hound', 'Bullmastiff']
Boxer_350 ['Boxer', 'Bulldog', 'Boxer Bulldog Mix']
Bull Mastiff_183 ['Bulldog', 'Basset Hound', 'Corgi']
Bull Mastiff_184 ['Bulldog', 'Boxer', 'Boston Terrier']
Bull Mastiff_185 ['Cocker Spaniel', 'English Bulldog', 'Basset Hound']
Tibetan Mastiff_75 ['Bullmastiff', 'Shar Pei', 'Tibetan Mastiff']
Tibetan Mastiff_76 ['Bulldog', 'Boston Terrier', 'Boxer']
Tibetan Mastiff_77 ['Russian Taylor Dog', 'Mastiff', 'Rottweiler']
French Bulldog_276 ['Bulldog', 'French Bulldog', 'Boxer']
French Bulldog_277 ['French Bulldog', 'English Bulldog', 'American Bulldog']
French Bulldog_278 ['Bulldog', 'French Bulldog', 'Boston Terrier']
Great Dane_357 ['Labrador Retriever', 'Rottweiler', 'Doberman Pinscher']
Great Dane_358 ['Labrador Retriever', 'Boxer', 'Rottweiler']
Great Dane_359 ['Dalmatian', 'Labrador Retriever', 'Boxer']
Saint Bernard_291 ['St. Bernard', 'Bernese Mountain Dog', 'Great Pyrenees']
Saint Bernard_292 ['St. Bernard', 'Newfoundland', 'Great Pyrenees.']
Saint Bernard_293 ['St. Bernard', 'Greater Swiss Mountain Dog', 'Bernese Mountain Dog']
Eskimo Dog_264 ['Samoyed', 'Alaskan Malamute', 'Siberian Husky']
Eskimo Dog_265 ['Eskimo Dog', 'Eskimo Dog', 'Eskimo Dog']
Eskimo Dog_266 ['Siberian Husky', 'Alaskan Malamute', 'Samoyed']
Malamute_177 ['Husky', 'Alaskan Husky', 'Siberian Husky']
Malamute_178 ['Husky', 'Alaskan Malamute', 'Samoyed.']
Malamute_179 ['Husky', 'Siberian Husky', 'Alaskan Husky']
Siberian Husky_150 ['Husky', 'Samoyed', 'Alaskan Malamute']
Siberian Husky_151 ['Husky', 'Alaskan Husky', 'Siberian Husky']
Siberian Husky_152 ['Husky', 'Alaskan Malamute', 'Samoyed']
Affenpinscher_312 ['French Bulldog', 'Boston Terrier', 'Pug']
Affenpinscher_313 ['Chihuahua', 'Shih Tzu', 'Spitz Mix']
Affenpinscher_314 ['Pug', 'French Bulldog', 'Boston Terrier']
Basenji_303 ['Boston Terrier', 'Dalmatian', 'French Bulldog']
Basenji_304 ['Terrier mix', 'Chihuahua mix', 'Teddy Bear Terrier']
Basenji_305 ['Basset Hound', 'Dachshund', 'Beagle']
Pug_99 ['Pug', 'French Bulldog', 'Boston Terrier']
Pug_100 ['Pug', 'French Bulldog', 'Boston Terrier']
Pug_101 ['Pug', 'French Bulldog', 'Boston Terrier']
Leonberg_72 ['St. Bernard', 'Mastiff', 'Boxer']
Leonberg_73 ['Bulldog', 'Newfoundland', 'Boxer']
Leonberg_74 ['Boxer', 'Doberman Pinscher', 'Rottweiler']
Newfoundland_306 ['Bulldog', 'Boxer', 'Boston Terrier']
Newfoundland_307 ['Newfoundland', 'Bulldog', 'Boxer']
Newfoundland_308 ['Labrador Retriever', 'Golden Retriever', 'Bernese Mountain Dog.']
Great Pyrenees_180 ['French Bulldog', 'Bullmastiff', 'Boxer']
Great Pyrenees_181 ['Siberian Husky', 'American Eskimo Dog', 'Samoyed']
Great Pyrenees_182 ['Bulldog', 'Boxer', 'Shar Pei']
Samoyed_225 ['Samoyed', 'Bichon Frise', 'Maltese']
Samoyed_226 ['Samoyed', 'American Eskimo Dog', 'Japanese Spitz.']
Samoyed_227 ['Samoyed', 'Great Pyrenees', 'American Eskimo']
Pomeranian_174 ['Chihuahua', 'Poodle', 'Dalmatian.']
Pomeranian_175 ['Shih Tzu', 'Bulldog', 'Pug']
Pomeranian_176 ['French Bulldog', 'Boston Terrier', 'Pug']
Chow_87 ['Boxer', 'English Bulldog', 'Staffordshire Bull Terrier']
Chow_88 ['Chow Chow', 'Akita', 'Samoyed']
Chow_89 ['Chow Chow', 'Akita', 'Samoyed']
Keeshond_216 ['St. Bernard', 'Newfoundland', 'Bernese Mountain Dog']
Keeshond_217 ['Poodle', 'Bichon Frise', 'Shih Tzu']
Keeshond_218 ['Shih Tzu', 'Pekingese', 'Chow Chow']
Brabancon Griffon_318 ['Pug', 'French Bulldog', 'Boston Terrier']
Brabancon Griffon_319 ['French Bulldog', 'Boston Terrier', 'Pug']
Brabancon Griffon_320 ['Dachshund', 'French Bulldog', 'Boston Terrier']
Pembroke_246 ['Pembroke Welsh Corgi', 'Cardigan Welsh Corgi', 'Corgi mix']
Pembroke_247 ['Corgi', 'Pembroke Welsh Corgi', 'Cardigan Welsh Corgi']
Pembroke_248 ['Pembroke Welsh Corgi', 'Cardigan Welsh Corgi', 'Corgi Mix']
Cardigan_207 ['Border Collie', 'Jack Russell Terrier', 'Boston Terrier']
Cardigan_208 ['Pug', 'French Bulldog', 'Shih Tzu']
Cardigan_209 ['Bulldog', 'Boxer', 'Pit Bull']
Toy Poodle_222 ['Poodle', 'Toy Poodle', 'Miniature Poodle']
Toy Poodle_223 ['Poodle', 'Bichon Frise', 'Maltese']
Toy Poodle_224 ['Poodle', 'Bichon Frise', 'Maltese']
Miniature Poodle_21 ['Standard Poodle', 'Miniature Poodle', 'Toy Poodle']
Miniature Poodle_22 ['Poodle', 'Bichon Frise', 'Shih Tzu']
Miniature Poodle_23 ['Poodle', 'Toy Poodle', 'Miniature Poodle']
Standard Poodle_165 ['Poodle', 'Toy Poodle', 'Miniature Poodle']
Standard Poodle_166 ['Poodle', 'Bichon Frise', 'Samoyed']
Standard Poodle_167 ['Standard Poodle', 'Miniature Poodle', 'Toy Poodle']
Mexican Hairless_261 ['Dalmatian ', 'Boston Terrier ', 'Whippet']
Mexican Hairless_262 ['Chinese Crested Dog', 'Chinese Crested', 'Chi']
Mexican Hairless_263 ['Jack Russell Terrier', 'Boston Terrier', 'Rat Terrier']
